CompanyCode,Date,LastTradePrice,Max,Min,AvgPrice,%Change,Volume,TurnoverBESTMKD,TurnoverTotalMKD,RSI,SMA_5,EMA_5,SMA_10,EMA_10,SMA_20,EMA_20,MACD,Signal_Line
ALK,2024-11-07,23000.0,"23,000.00","22,990.00","22,997.62",2.28,130,"2,989,691","2,989,691",,,23000.0,,23000.0,,23000.0,0.0,0.0
ALK,2024-11-06,22500.0,"22,502.00","22,301.00","22,484.06",0.83,187,"4,204,519","4,204,519",,,22833.333333333336,,22909.090909090908,,22952.38095238095,-39.886039886041544,-7.977207977208309
ALK,2024-11-05,22300.0,"22,300.00","22,298.00","22,299.74",0.03,"3,434","76,577,300","76,577,300",,,22655.55555555556,,22798.347107438014,,22890.24943310657,-86.6356604248358,-23.708898466733807
ALK,2024-11-04,22300.0,"22,300.00","22,250.00","22,293.98",-0.10,408,"9,095,944","9,095,944",,,22537.03703703704,,22707.738542449286,,22834.035201382136,-122.27555503015901,-43.42222977941885
ALK,2024-11-01,22300.0,"22,351.00","22,300.00","22,316.35",0.11,712,"15,889,243","26,615,543",,22480.0,22458.024691358027,,22633.604262003963,,22783.174706012407,-148.8050957604828,-64.49880297563165
ALK,2024-10-31,22250.0,"22,310.00","22,250.00","22,291.33",0.19,218,"4,859,510","4,859,510",,22330.0,22388.683127572018,,22563.858032548695,,22732.396162582652,-171.8831678909628,-85.97567595869788
ALK,2024-10-30,22250.0,"22,250.00","22,250.00","22,250.00",-0.01,86,"1,913,500","1,913,500",,22280.0,22342.455418381345,,22506.792935721656,,22686.453670908115,-188.00549599443184,-106.38163996584467
ALK,2024-10-29,22200.0,"22,260.00","22,200.00","22,252.00",-0.07,125,"2,781,500","2,781,500",,22260.0,22294.970278920897,,22451.01240195408,,22640.124749869246,-202.48304085048585,-125.60192014277291
ALK,2024-10-28,22300.0,"22,350.00","22,250.00","22,266.81",0.18,111,"2,471,616","2,471,616",,22260.0,22296.646852613932,,22423.555601598793,,22607.731916548364,-203.54113963115014,-141.18976404044835
ALK,2024-10-25,22200.0,"22,251.00","22,200.00","22,225.74",-0.08,339,"7,534,525","7,534,525",,22240.0,22264.431235075957,22360.0,22382.909128580828,,22568.90030544852,-210.0277852327381,-154.9573682789063
ALK,2024-10-24,22250.0,"22,251.00","22,200.00","22,243.51",-0.20,359,"7,985,420","7,985,420",,22240.0,22259.62082338397,22285.0,22358.743832475222,,22538.528847786754,-208.72783195498414,-165.71146101412188
ALK,2024-10-22,22250.0,"22,500.00","22,200.00","22,288.64",0.06,78,"1,738,514","1,738,514",,22240.0,22256.413882255983,22260.0,22338.972226570633,,22511.0499099023,-205.330685290588,-173.6353058694151
ALK,2024-10-21,22250.0,"22,300.00","22,200.00","22,274.43",0.09,298,"6,637,780","6,637,780",,22250.0,22254.27592150399,22255.0,22322.795458103243,,22486.188013721126,-200.32915231659717,-178.97407515885152
ALK,2024-10-18,22250.0,"22,300.00","22,249.00","22,254.15",0.04,222,"4,940,421","4,940,421",14.285714285714278,22240.0,22252.850614335995,22250.0,22309.559920266285,,22463.693917176257,-194.1276190484641,-182.00478393677406
ALK,2024-10-17,22250.0,"22,296.00","22,160.00","22,246.02",0.47,317,"7,051,987","7,051,987",14.285714285714278,22250.0,22251.900409557333,22245.0,22298.73084385423,,22443.34211554042,-187.05658735350517,-183.01514462012028
ALK,2024-10-16,22295.0,"22,295.00","22,100.00","22,140.92",-0.45,74,"1,638,428","1,638,428",32.773109243697476,22259.0,22266.26693970489,22249.5,22298.052508608005,,22429.21429501276,-175.79516266539213,-181.57114822917467
ALK,2024-10-15,22101.0,"22,300.00","22,100.00","22,240.91",-0.27,92,"2,046,164","2,046,164",33.106960950764005,22229.2,22211.17795980326,22234.6,22262.224779770186,,22397.955790725828,-180.44452893350172,-181.34582437004008
ALK,2024-10-14,22300.0,"22,350.00","22,300.00","22,301.63",-0.21,195,"4,348,818","4,348,818",50.0,22239.2,22240.78530653551,22244.6,22269.093001630154,,22388.62666779956,-166.15620303035757,-178.3079001021036
ALK,2024-10-10,22350.0,"22,400.00","22,300.00","22,347.50",0.27,177,"3,955,508","3,955,508",52.98329355608592,22259.2,22277.190204357008,22249.6,22283.803364970125,,22384.947937532932,-149.07952372698128,-172.46222482707915
ALK,2024-10-09,22300.0,"22,300.00","22,250.00","22,286.23",0.15,61,"1,359,460","1,359,460",52.98329355608592,22269.2,22284.79346957134,22259.6,22286.74820770283,22309.8,22376.85765776789,-137.9900510678999,-165.56779007524332
